性别,身高(cm),体重(kg),胸围(cm),腰围(cm),推荐尺码
女,150,53.0,92.0,77.0,155/88
女,150,58.0,89.0,77.0,155/92
女,150,53.0,92.0,79.0,160/88
女,150,55.0,94.0,76.0,160/88
女,152,52.0,90.0,76.0,155/88
女,152,57.0,100.0,74.0,165/88
女,153,50.0,84.0,78.0,160/84
女,153,53.0,84.0,72.0,160/88
女,154,48.0,88.0,72.0,155/84
女,155,56.0,86.0,80.0,160/88
女,155,48.0,90.0,71.0,160/84
女,155,55.0,95.0,80.0,160/88
女,155,50.0,90.0,72.0,160/84
女,155,48.0,84.0,72.0,160/84
女,155,70.0,103.0,95.0,165/100
女,155,49.0,82.0,70.0,160/84
女,156,67.0,98.0,86.0,160/96
女,156,59.0,94.0,74.0,160/92
女,156,68.0,100.0,88.5,165/100
女,157,55.0,92.0,72.0,160/88
女,157,58.0,92.0,78.0,160/92
女,157,49.0,83.0,68.0,160/84
女,158,59.0,103.0,85.0,160/92
女,158,53.0,87.0,78.0,160/88
女,158,54.0,93.0,74.0,160/88
女,158,58.5,100.0,87.0,160/92
女,158,45.0,90.0,81.0,160/84
女,158,57.0,92.0,83.0,160/92
女,158,53.0,90.0,80.0,160/88
女,158,61.0,92.0,86.0,160/92
女,158,55.0,90.0,78.0,160/88
女,158,46.0,88.0,70.0,160/84
女,158,66.5,98.0,86.0,165/96
女,158,60.0,90.0,79.0,160/92
女,158,60.0,90.0,80.0,160/92
女,158,64.0,94.0,90.0,165/96
女,158,58.0,88.0,79.0,160/92
女,160,61.0,97.0,87.0,160/96
女,160,65.0,98.0,82.0,160/96
女,160,63.0,95.0,79.0,160/96
女,160,55.0,87.0,72.0,160/88
女,160,65.0,95.0,79.0,160/96
女,160,56.0,92.0,86.0,160/88
女,160,48.0,80.0,64.0,160/80
女,160,49.0,88.0,65.0,160/84
女,160,48.0,85.0,66.0,160/84
女,160,50.0,80.0,69.0,160/84
女,160,47.0,75.0,68.0,160/80
